country,2015,2016,2017
Georgia,4.297,4.252,4.286
Malawi,4.292,4.156,3.97
Sri Lanka,4.271,4.415,4.44
Cameroon,4.252,4.513,4.695
Bulgaria,4.218,4.217,4.714
Egypt,4.194,4.362,4.735
Yemen,4.077,3.724,3.593
Angola,4.033,3.866,3.795
Mali,3.995,4.073,4.19
Congo (Brazzaville),3.989,4.236,4.291
Comoros,3.956,3.956,nan
Uganda,3.931,3.739,4.081
Senegal,3.904,4.219,4.535
Gabon,3.896,4.121,4.465
Niger,3.845,3.856,4.028
Cambodia,3.819,3.907,4.168
Tanzania,3.781,3.666,3.349
Madagascar,3.681,3.695,3.644
Central African Republic,3.678,nan,2.693
Chad,3.667,3.763,3.936
Guinea,3.656,3.607,3.507
Ivory Coast,3.655,3.916,4.18
Burkina Faso,3.587,3.739,4.032
Afghanistan,3.575,3.36,3.794
Rwanda,3.465,3.515,3.471
Benin,3.34,3.484,3.657
Syria,3.006,3.069,3.462
Burundi,2.905,2.905,2.905
Togo,2.839,3.303,3.495
Belize,nan,5.956,5.956
Namibia,nan,4.574,4.574
Puerto Rico,nan,7.039,nan
Somalia,nan,5.44,5.151
South Sudan,nan,3.832,3.591
Switzerland,1,2,4
Iceland,2,3,3
Denmark,3,1,2
Norway,4,4,1
Canada,5,6,7
Finland,6,5,5
Netherlands,7,7,6
Sweden,8,10,9
New Zealand,9,8,8
Australia,10,9,9
Israel,11,11,11
Costa Rica,12,14,12
Austria,13,12,13
Mexico,14,21,25
United States,15,13,14
Brazil,16,17,22
Luxembourg,17,20,18
Ireland,18,19,15
Belgium,19,18,17
United Arab Emirates,20,28,21
United Kingdom,21,23,19
Oman,22,nan,nan
Venezuela,23,44,82
Singapore,24,22,26
Panama,25,25,30
Germany,26,16,16
Chile,27,24,20
Qatar,28,36,35
France,29,32,31
Argentina,30,26,24
Czech Republic,31,27,23
Uruguay,32,29,28
Colombia,33,31,36
Thailand,34,33,32
Saudi Arabia,35,34,37
Spain,36,37,34
Malta,37,30,27
Taiwan,38,34,33
Kuwait,39,41,39
Suriname,40,40,nan
Trinidad and Tobago,41,43,38
El Salvador,42,46,45
Guatemala,43,39,28
Uzbekistan,44,49,47
Slovakia,45,45,40
Japan,46,53,51
South Korea,47,57,55
Ecuador,48,51,44
Bahrain,49,42,41
Italy,50,50,48
Bolivia,51,59,58
Moldova,52,55,55
Paraguay,53,70,70
Kazakhstan,54,54,60
Slovenia,55,63,62
Lithuania,56,60,52
Nicaragua,57,48,43
Peru,58,64,63
Belarus,59,61,67
Poland,60,57,46
Malaysia,61,47,42
Croatia,62,74,77
Libya,63,67,68
Russia,64,56,49
Jamaica,65,73,76
North Cyprus,66,62,61
Cyprus,67,69,65
Algeria,68,38,53
Kosovo,69,77,78
Turkmenistan,70,65,59
Mauritius,71,66,64
Hong Kong,72,75,71
Estonia,73,72,66
Indonesia,74,79,81
Vietnam,75,96,94
Turkey,76,78,69
Kyrgyzstan,77,85,98
Nigeria,78,103,94
Bhutan,79,84,97
Azerbaijan,80,81,85
Pakistan,81,92,80
Jordan,82,80,74
Montenegro,82,88,83
China,84,83,79
Zambia,85,106,116
Romania,86,71,57
Serbia,87,86,73
Portugal,88,94,89
Latvia,89,68,54
Philippines,90,82,72
Somaliland region,91,97,nan
Morocco,92,90,84
Macedonia,93,95,92
Mozambique,94,nan,113
Albania,95,109,109
Bosnia and Herzegovina,96,87,90
Lesotho,97,nan,139
Dominican Republic,98,89,86
Laos,99,102,nan
Mongolia,100,101,100
Swaziland,101,nan,nan
Greece,102,99,87
Lebanon,103,93,88
Hungary,104,91,75
Honduras,105,104,91
Tajikistan,106,100,96
Tunisia,107,98,102
Palestinian Territories,108,108,103
Bangladesh,109,110,110
Iran,110,105,108
Ukraine,111,123,132
Iraq,112,112,117
South Africa,113,116,101
Ghana,114,124,131
Zimbabwe,115,131,138
Liberia,116,150,148
India,117,118,122
Sudan,118,133,130
Haiti,119,136,145
Congo (Kinshasa),120,125,126
Nepal,121,107,99
Ethiopia,122,115,119
Sierra Leone,123,111,106
Mauritania,124,130,123
Kenya,125,122,112
Djibouti,126,nan,nan
Armenia,127,121,121
Botswana,128,137,142
Myanmar,129,119,114
Georgia,130,126,125
Malawi,131,132,136
Sri Lanka,132,117,120
Cameroon,133,114,107
Bulgaria,134,129,105
Egypt,135,120,104
Yemen,136,147,146
Angola,137,141,140
Mali,138,135,127
Congo (Brazzaville),139,127,124
Comoros,140,138,nan
Uganda,141,145,133
Senegal,142,128,115
Gabon,143,134,118
Niger,144,142,135
Cambodia,145,140,129
Tanzania,146,149,153
Madagascar,147,148,144
Central African Republic,148,nan,155
Chad,149,144,137
Guinea,150,151,149
Ivory Coast,151,139,128
Burkina Faso,152,145,134
Afghanistan,153,154,141
Rwanda,154,152,151
Benin,155,153,143
Syria,156,156,152
Burundi,157,157,154
Togo,158,155,150
Belize,nan,52,50
Namibia,nan,113,111
Puerto Rico,nan,15,nan
Somalia,nan,76,93
South Sudan,nan,143,147
